10950 D loss: 0.084354, acc.: 100.00%, G loss: 0.114040, time: 0:29:44.826463
11000 D loss: 0.055398, acc.: 100.00%, G loss: 0.154692, time: 0:29:51.473370
11050 D loss: 0.077515, acc.: 96.88%, G loss: 0.158763, time: 0:29:58.002378
11100 D loss: 0.017599, acc.: 100.00%, G loss: 0.131317, time: 0:30:04.531925
11150 D loss: 0.049427, acc.: 98.44%, G loss: 0.130397, time: 0:30:10.986775
11200 D loss: 0.300528, acc.: 90.62%, G loss: 0.134335, time: 0:30:17.706557
11250 D loss: 0.050020, acc.: 98.44%, G loss: 0.130938, time: 0:30:24.123956
11300 D loss: 0.045034, acc.: 98.44%, G loss: 0.071251, time: 0:30:30.612219
11350 D loss: 0.078994, acc.: 96.88%, G loss: 0.085638, time: 0:30:37.181284
11400 D loss: 0.040592, acc.: 98.44%, G loss: 0.156700, time: 0:30:43.762428
11450 D loss: 0.095792, acc.: 96.88%, G loss: 0.157407, time: 0:30:50.308716
11500 D loss: 0.026405, acc.: 100.00%, G loss: 0.090301, time: 0:30:56.991008
11550 D loss: 0.078729, acc.: 98.44%, G loss: 0.098811, time: 0:31:03.491858
11600 D loss: 0.042738, acc.: 100.00%, G loss: 0.037493, time: 0:31:10.085475
11650 D loss: 0.097798, acc.: 98.44%, G loss: 0.107795, time: 0:31:16.883832
11700 D loss: 0.204773, acc.: 89.06%, G loss: 0.213390, time: 0:31:23.484211
11750 D loss: 0.019172, acc.: 100.00%, G loss: 0.156876, time: 0:31:30.175800
11800 D loss: 0.116092, acc.: 95.31%, G loss: 0.126478, time: 0:31:36.627896
11850 D loss: 0.078053, acc.: 98.44%, G loss: 0.102137, time: 0:31:43.324013
11900 D loss: 0.101587, acc.: 98.44%, G loss: 0.172236, time: 0:31:49.946037
11950 D loss: 0.262988, acc.: 89.06%, G loss: 0.222974, time: 0:31:56.563288
12000 D loss: 0.066002, acc.: 98.44%, G loss: 0.104790, time: 0:32:03.029045
12050 D loss: 0.042561, acc.: 100.00%, G loss: 0.171313, time: 0:32:09.791020
12100 D loss: 0.033365, acc.: 100.00%, G loss: 0.114642, time: 0:32:16.352972
12150 D loss: 0.612019, acc.: 73.44%, G loss: 0.125609, time: 0:32:22.938767
12200 D loss: 0.178483, acc.: 95.31%, G loss: 0.107607, time: 0:32:29.702496
12250 D loss: 0.047820, acc.: 98.44%, G loss: 0.121095, time: 0:32:36.425729
12300 D loss: 0.063240, acc.: 98.44%, G loss: 0.094480, time: 0:32:43.150784
12350 D loss: 0.048151, acc.: 98.44%, G loss: 0.057898, time: 0:32:49.881870
12400 D loss: 0.073867, acc.: 98.44%, G loss: 0.109093, time: 0:32:56.523684
12450 D loss: 0.074883, acc.: 98.44%, G loss: 0.076222, time: 0:33:03.090036
12500 D loss: 0.358345, acc.: 85.94%, G loss: 0.147795, time: 0:33:09.768419
12550 D loss: 0.086232, acc.: 98.44%, G loss: 0.152398, time: 0:33:16.534052
